"service_date","day_type","bus","rail_boardings","total_rides"
"02/08/2025","A","354,675","225,361","580,036"
"02/09/2025","U","283,740","178,617","462,357"
"02/10/2025","W","566,314","340,368","906,682"
"02/11/2025","W","602,680","394,158","996,838"
"02/12/2025","W","495,987","323,871","819,858"
"02/13/2025","W","561,666","377,046","938,712"
"02/14/2025","W","530,108","327,173","857,281"
"02/15/2025","A","354,572","234,600","589,172"
"02/16/2025","U","276,210","177,108","453,318"
"02/17/2025","W","368,849","239,262","608,111"
"02/18/2025","W","492,897","326,560","819,457"
"02/19/2025","W","550,895","364,221","915,116"
"02/20/2025","W","574,080","380,904","954,984"
"02/21/2025","W","553,951","328,596","882,547"
"02/22/2025","A","370,787","234,375","605,162"
"02/23/2025","U","281,484","174,047","455,531"
"02/24/2025","W","578,860","353,291","932,151"
"02/25/2025","W","575,346","396,347","971,693"
"02/26/2025","W","609,866","397,146","1,007,012"
"02/27/2025","W","613,402","402,457","1,015,859"
"02/28/2025","W","590,955","352,148","943,103"
"03/01/2025","A","380,591","240,413","621,004"
"03/02/2025","U","291,627","180,050","471,677"
"03/03/2025","W","578,006","345,594","923,600"
"03/04/2025","W","580,293","390,147","970,440"
"03/05/2025","W","603,951","397,881","1,001,832"
"03/06/2025","W","619,806","404,819","1,024,625"
"03/07/2025","W","555,241","335,864","891,105"
"03/08/2025","A","398,766","258,254","657,020"
"03/09/2025","U","302,103","192,874","494,977"
"03/10/2025","W","593,786","371,554","965,340"
"03/11/2025","W","626,067","418,826","1,044,893"
"03/12/2025","W","633,486","421,745","1,055,231"
"03/13/2025","W","632,710","433,941","1,066,651"
"03/14/2025","W","610,031","416,441","1,026,472"
"03/15/2025","A","419,140","569,090","988,230"
"03/16/2025","U","273,811","212,415","486,226"
"03/17/2025","W","592,276","388,387","980,663"
"03/18/2025","W","631,010","433,816","1,064,826"
"03/19/2025","W","586,106","410,146","996,252"
"03/20/2025","W","597,866","410,831","1,008,697"
"03/21/2025","W","586,769","365,803","952,572"
"03/22/2025","A","392,188","269,950","662,138"
"03/23/2025","U","273,302","209,303","482,605"
"03/24/2025","W","491,872","320,551","812,423"
"03/25/2025","W","537,207","371,997","909,204"
"03/26/2025","W","545,509","373,308","918,817"
"03/27/2025","W","523,815","375,538","899,353"
"03/28/2025","W","512,649","339,773","852,422"
"03/29/2025","A","387,569","265,050","652,619"
"03/30/2025","U","285,253","189,181","474,434"
"03/31/2025","W","522,245","355,008","877,253"
"04/01/2025","W","600,564","408,193","1,008,757"
"04/02/2025","W","524,319","376,485","900,804"
"04/03/2025","W","660,304","438,577","1,098,881"
"04/04/2025","W","604,237","399,136","1,003,373"
"04/05/2025","A","411,217","329,910","741,127"
"04/06/2025","U","320,063","229,137","549,200"
"04/07/2025","W","577,558","376,220","953,778"
"04/08/2025","W","612,600","431,129","1,043,729"
"04/09/2025","W","613,773","423,298","1,037,071"
"04/10/2025","W","621,071","426,285","1,047,356"
"04/11/2025","W","607,742","388,639","996,381"
"04/12/2025","A","417,636","295,686","713,322"
"04/13/2025","U","322,033","227,473","549,506"
"04/14/2025","W","601,239","382,752","983,991"
"04/15/2025","W","628,715","431,442","1,060,157"
"04/16/2025","W","647,017","439,567","1,086,584"
"04/17/2025","W","618,797","438,225","1,057,022"
"04/18/2025","W","530,317","379,633","909,950"
"04/19/2025","A","398,189","291,288","689,477"
"04/20/2025","U","276,828","192,934","469,762"
"04/21/2025","W","563,978","361,549","925,527"
"04/22/2025","W","635,896","449,995","1,085,891"
"04/23/2025","W","620,545","448,723","1,069,268"
"04/24/2025","W","653,241","448,572","1,101,813"
"04/25/2025","W","580,882","400,327","981,209"
"04/26/2025","A","428,587","317,347","745,934"
"04/27/2025","U","329,874","245,932","575,806"
"04/28/2025","W","604,201","393,731","997,932"
"04/29/2025","W","638,090","439,903","1,077,993"
"04/30/2025","W","632,346","435,347","1,067,693"
"05/01/2025","W","614,811","437,225","1,052,036"
"05/02/2025","W","607,226","387,749","994,975"
"05/03/2025","A","420,608","290,233","710,841"
"05/04/2025","U","303,496","206,686","510,182"
"05/05/2025","W","589,882","399,546","989,428"
"05/06/2025","W","643,704","461,004","1,104,708"
"05/07/2025","W","637,290","458,714","1,096,004"
"05/08/2025","W","624,984","445,646","1,070,630"
"05/09/2025","W","604,932","396,963","1,001,895"
"05/10/2025","A","420,315","296,008","716,323"
"05/11/2025","U","314,094","218,681","532,775"
"05/12/2025","W","573,953","389,496","963,449"
"05/13/2025","W","620,509","449,177","1,069,686"
"05/14/2025","W","629,950","458,800","1,088,750"
"05/15/2025","W","616,122","445,308","1,061,430"
"05/16/2025","W","592,484","436,029","1,028,513"
"05/17/2025","A","414,456","343,401","757,857"
"05/18/2025","U","335,172","284,891","620,063"
"05/19/2025","W","573,428","390,230","963,658"
"05/20/2025","W","553,818","404,774","958,592"
"05/21/2025","W","599,362","425,319","1,024,681"
"05/22/2025","W","608,486","447,897","1,056,383"
"05/23/2025","W","586,037","396,204","982,241"
"05/24/2025","A","410,761","342,808","753,569"
"05/25/2025","U","331,906","272,960","604,866"
"05/26/2025","U","320,282","242,292","562,574"
"05/27/2025","W","593,862","422,731","1,016,593"
"05/28/2025","W","587,320","433,959","1,021,279"
"05/29/2025","W","615,721","440,293","1,056,014"
"05/30/2025","W","591,406","415,802","1,007,208"
"05/31/2025","A","421,327","334,489","755,816"
"06/01/2025","U","322,578","268,696","591,274"
"06/02/2025","W","584,625","397,717","982,342"
"06/03/2025","W","630,210","448,413","1,078,623"
"06/04/2025","W","567,567","422,523","990,090"
"06/05/2025","W","621,275","456,561","1,077,836"
"06/06/2025","W","585,906","427,847","1,013,753"
"06/07/2025","A","431,202","347,676","778,878"
"06/08/2025","U","330,390","266,245","596,635"
"06/09/2025","W","563,488","394,008","957,496"
"06/10/2025","W","598,056","460,364","1,058,420"
"06/11/2025","W","615,905","457,654","1,073,559"
"06/12/2025","W","597,722","483,910","1,081,632"
"06/13/2025","W","524,099","424,996","949,095"
"06/14/2025","A","410,694","435,787","846,481"
"06/15/2025","U","328,845","273,439","602,284"
"06/16/2025","W","527,665","378,666","906,331"
"06/17/2025","W","570,086","464,308","1,034,394"
"06/18/2025","W","517,630","417,493","935,123"
"06/19/2025","W","494,295","389,226","883,521"
"06/20/2025","W","538,237","427,618","965,855"
"06/21/2025","A","413,637","354,634","768,271"
"06/22/2025","U","313,881","266,745","580,626"
"06/23/2025","W","503,644","371,307","874,951"
"06/24/2025","W","551,167","423,488","974,655"
"06/25/2025","W","571,409","444,413","1,015,822"
"06/26/2025","W","561,301","471,300","1,032,601"
"06/27/2025","W","543,140","416,639","959,779"
"06/28/2025","A","427,366","337,560","764,926"
"06/29/2025","U","316,118","323,242","639,360"
"06/30/2025","W","534,839","376,363","911,202"
"07/01/2025","W","602,025","451,361","1,053,386"
"07/02/2025","W","578,603","438,612","1,017,215"
"07/03/2025","W","553,468","425,260","978,728"
"07/04/2025","U","316,641","277,046","593,687"
"07/05/2025","A","371,741","332,533","704,274"
"07/06/2025","U","294,228","264,632","558,860"
"07/07/2025","W","539,247","392,503","931,750"
"07/08/2025","W","564,820","436,204","1,001,024"
"07/09/2025","W","577,539","439,416","1,016,955"
"07/10/2025","W","583,325","447,221","1,030,546"
"07/11/2025","W","526,443","400,995","927,438"
"07/12/2025","A","422,226","330,530","752,756"
"07/13/2025","U","334,662","261,931","596,593"
"07/14/2025","W","544,793","384,117","928,910"
"07/15/2025","W","579,537","439,047","1,018,584"
"07/16/2025","W","562,232","432,866","995,098"
"07/17/2025","W","573,201","460,177","1,033,378"
"07/18/2025","W","559,448","460,345","1,019,793"
"07/19/2025","A","394,966","354,215","749,181"
"07/20/2025","U","328,751","293,401","622,152"
"07/21/2025","W","518,203","421,916","940,119"
"07/22/2025","W","581,470","479,560","1,061,030"
"07/23/2025","W","569,940","467,479","1,037,419"
"07/24/2025","W","527,958","425,053","953,011"
"07/25/2025","W","509,522","409,303","918,825"
"07/26/2025","A","397,737","363,680","761,417"
"07/27/2025","U","326,681","279,111","605,792"
"07/28/2025","W","506,057","379,574","885,631"
"07/29/2025","W","557,055","446,674","1,003,729"
"07/30/2025","W","537,534","466,281","1,003,815"
"07/31/2025","W","567,414","542,673","1,110,087"
